sentence1,sentence2,label
 It's horrible to tell your parents that you hate them.,They've always treated you right.,1
 It's horrible to tell your parents that you hate them.,Unless you are a toddler.,0
 It's horrible to tell your parents that you hate them.,Especially if they have always been good parents.,1
 It's okay to turn down someone's advances.,They are making you uncomfortable and you're not interested.,1
 It's okay to turn down someone's advances.,You are married.,1
 It's okay to turn down someone's advances.,Doing so would put your safety at risk.,0
 It's okay to turn down someone's advances.,You have people nearby to ensure your safety.,1
 It's okay to turn down someone's advances.,You are very attracted to them.,0
 It's okay to turn down someone's advances.,They are very repulsive to you.,1
 It's okay to turn down someone's advances.,You are being stubborn because you don’t want to seem easy,0
 It's okay to turn down someone's advances.,You don’t have genuine feelings for them,1
 You should respect the wishes of your significant other.,They are being toxic,0
 You should respect the wishes of your significant other.,You want to stop fighting,1
 You should respect the wishes of your significant other.,his wish is to have an open relationship.,0
 You should respect the wishes of your significant other.,his wishes were discussed and agreed upon before you got married.,1
 You should respect the wishes of your significant other.,they are asking you to do something illegal.,0
 You should respect the wishes of your significant other.,they are pursing their lifelong dream.,1
 You should respect the wishes of your significant other.,what they want is unreasonable.,0
 You should respect the wishes of your significant other.,you want them to respect your wishes as well.,1
 You should respect the wishes of your significant other.,Their wishes make you  deeply uncomfortable or go against your morals.,0
 You should respect the wishes of your significant other.,Their wishes are reasonable and don't violate your morals.,1
 It's not okay to steal the show from someone else's big event.,That event is a wedding.,1
 It's not okay to steal the show from someone else's big event.,The event is a racist protest.,0
 It's not okay to steal the show from someone else's big event.,The event is a wedding.,1
 It's not okay to steal the show from someone else's big event.,They are your political rival.,0
 It's not okay to steal the show from someone else's big event.,They are doing the event for charity.,1
 It's not okay to steal the show from someone else's big event.,You do so accidentally.,0
 It's not okay to steal the show from someone else's big event.,You do so on purpose and actively sabotage them.,1
 It's not okay to steal the show from someone else's big event.,You are the show runner,0
 It's not okay to steal the show from someone else's big event.,They are being paid more than you,1
 You should maintain close ties to family members.,The family members have toxic personalities.,0
 You should maintain close ties to family members.,The family members are loving and supportive.,1
 You should maintain close ties to family members.,You have family members that are toxic to you.,0
 You should maintain close ties to family members.,Your family members care about you.,1
 You should maintain close ties to family members.,The family members are unkind.,0
 You should maintain close ties to family members.,The family members are sick.,1
 You should maintain close ties to family members.,The family members are toxic.,0
 You should maintain close ties to family members.,You love your family.,1
 You should maintain close ties to family members.,Family members treat you unfairly.,0
 You should maintain close ties to family members.,You are the head of the family.,1
 You shouldn't get your classmates into trouble.,They are putting other people at risk.,0
 You shouldn't get your classmates into trouble.,They aren't harming anyone.,1
 You shouldn't get your classmates into trouble.,Your classmates have done something they deserve to be in trouble for.,0
 You shouldn't get your classmates into trouble.,Your classmates haven't done anything wrong.,1
 You shouldn't get your classmates into trouble.,they are disrupting the class.,0
 You shouldn't get your classmates into trouble.,it's not the first time they're doing it.,1
 You shouldn't get your classmates into trouble.,they have stolen the answers to the test.,0
 You shouldn't get your classmates into trouble.,they are working hard.,1
 You shouldn't get your classmates into trouble.,They are doing something illegal.,0
 You shouldn't get your classmates into trouble.,They aren't doing anything wrong.,1
 It is bad to be overly sensitive,you are happy with the way you are.,0
 It is bad to be overly sensitive,you are upset over most things.,1
 It is bad to be overly sensitive,You are a child and don't know any better.,0
 It is bad to be overly sensitive,You tend to blow things out of proportion in order to make others feel bad.,1
 It is bad to be overly sensitive,You have been continually hurt.,0
 It is bad to be overly sensitive,It only creates more problems.,1
 It is bad to be overly sensitive,It affects your health.,0
 It is bad to be overly sensitive,There is no ill intent meant.,1
 It is bad to be overly sensitive,It provides an opportunity to connect with others.,0
 It is bad to be overly sensitive,It leads to a stream of negative emotions.,1
 Refusing to pay for a first date is cheap.,the people on the date believe in equality,0
 Refusing to pay for a first date is cheap.,the date was taken out under the impression they wouldn't have to pay,1
 Refusing to pay for a first date is cheap.,The other person offered to pay when they asked you on the date.,0
 Refusing to pay for a first date is cheap.,You made all the plans and instigated the date.,1
 Refusing to pay for a first date is cheap.,you really do not have the money,0
 Refusing to pay for a first date is cheap.,you have plenty of money to pay.,1
 Refusing to pay for a first date is cheap.,The date poured their drink on you.,0
 Refusing to pay for a first date is cheap.,Your date said they were unemployed.,1
 Refusing to pay for a first date is cheap.,It was agreed upon before the date to split the bill.,0
 Refusing to pay for a first date is cheap.,The person who asked for the date does not pay.,1
 It is irresponsible to encourage other people to skip classes.,It is in protest of inhumane conditions.,0
 It is irresponsible to encourage other people to skip classes.,It will negatively affect their grades.,1
 It is irresponsible to encourage other people to skip classes.,It is for a principled political stand.,0
 It is irresponsible to encourage other people to skip classes.,Their grades could suffer.,1
 It is irresponsible to encourage other people to skip classes.,You are the teacher and it's your class.,0
 It is irresponsible to encourage other people to skip classes.,They are already scoring poorly in the class.,1
 It is irresponsible to encourage other people to skip classes.,it is for a bad emergency.,0
 It is irresponsible to encourage other people to skip classes.,you want to go see a movie.,1
 It is irresponsible to encourage other people to skip classes.,They are already Straight A students who can afford to miss class.,0
 It is irresponsible to encourage other people to skip classes.,They are failing those classes.,1
 It's annoying when someone enters your home without permission.,It's a police officer.,0
 It's annoying when someone enters your home without permission.,It's a burglar.,1
 It's annoying when someone enters your home without permission.,it is the police.,0
 It's annoying when someone enters your home without permission.,you don't like people in your space.,1
 It's annoying when someone enters your home without permission.,they are trying to rob your house,0
 It's annoying when someone enters your home without permission.,you told them not to come inside,1
 It's annoying when someone enters your home without permission.,they are family.,0
 It's annoying when someone enters your home without permission.,they are stealing from you.,1
 It's annoying when someone enters your home without permission.,Your home is on fire and a firefighter enters.,0
 It's annoying when someone enters your home without permission.,It is a pushy door-to-door salesperson.,1
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,They have social anxiety and avoid people.,0
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,They need someone to talk to.,1
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,They have been told by their counselor to create space during anxiety attacks.,0
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,They suffer from separation anxiety.,1
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,You're in the hospital sick.,0
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,You're ignoring your friend's messages.,1
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,They are in an in-patient ward.,0
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,You told them you'd check in.,1
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,you've been told by others that your behavior makes your friend's anxiety worse.,0
 Not communicating with a friend that has anxiety can let them be more separated and potentially cause harm.,you are one of their only friends and they depend on your support.,1
 You shouldn't be with someone who is not compatible with you.,You rely on them to financially support you.,0
 You shouldn't be with someone who is not compatible with you.,You constantly fight with each other and put each other down.,1
 You shouldn't be with someone who is not compatible with you.,The person is caring and lovable toward you.,0
 You shouldn't be with someone who is not compatible with you.,The two of you are bored when together.,1
 You shouldn't be with someone who is not compatible with you.,You have kids together.,0
 You shouldn't be with someone who is not compatible with you.,You want to be happy.,1
 You shouldn't be with someone who is not compatible with you.,You are in an arranged marriage in a foreign country.,0
 You shouldn't be with someone who is not compatible with you.,"The incompatibility is on major issues, not trivial ones.",1
 You shouldn't be with someone who is not compatible with you.,you are just having a fling.,0
 You shouldn't be with someone who is not compatible with you.,you are looking for a long-term relationship.,1
 It is understandable to have trouble getting over an injustice from family.,It is a pattern of behavior and you've been deceiving yourself.,0
 It is understandable to have trouble getting over an injustice from family.,They have always supported you before this.,1
 It is understandable to have trouble getting over an injustice from family.,Your family ruined your relationship,1
 It is understandable to have trouble getting over an injustice from family.,The injustice was done while the person was not in a right state of mind.,0
 It is understandable to have trouble getting over an injustice from family.,They stole your money.,1
 It is understandable to have trouble getting over an injustice from family.,it was a minor injustice.,0
 It is understandable to have trouble getting over an injustice from family.,it caused a death in the family.,1
 It is understandable to have trouble getting over an injustice from family.,you are overthinking it.,0
 It is understandable to have trouble getting over an injustice from family.,they refuse to acknowledge it.,1
 It is nice to be helpful to elders,they're in prison for child molestation,0
 It is nice to be helpful to elders,they're your grandparents,1
 It is nice to be helpful to elders,They are disabled,1
 It is nice to be helpful to elders,They are being demanding.,0
 It is nice to be helpful to elders,They don't have any family.,1
 It is nice to be helpful to elders,You're doing it to take advantage of them.,0
 It is nice to be helpful to elders,You're an assistant at an old folks home.,1
 It is nice to be helpful to elders,They want to remain independent,0
 It is nice to be helpful to elders,They have poor memory,1
 You shouldn't expect your friends to always want to hang out with you.,You all share the same interests.,0
 You shouldn't expect your friends to always want to hang out with you.,You have family and school commitments.,1
 You shouldn't expect your friends to always want to hang out with you.,You work with them also.,0
 You shouldn't expect your friends to always want to hang out with you.,You have a family of your own.,1
 You shouldn't expect your friends to always want to hang out with you.,You are their only friend,0
 You shouldn't expect your friends to always want to hang out with you.,They have other friends,1
 You shouldn't expect your friends to always want to hang out with you.,you used to always hang out but then all of the sudden they stopped wanting too.,0
 You shouldn't expect your friends to always want to hang out with you.,they have a full time job,1
 You shouldn't expect your friends to always want to hang out with you.,You're going through a rough patch in your life and need their support.,0
 You shouldn't expect your friends to always want to hang out with you.,They are all involved in romantic relationships which have greater call on their time.,1
 You shouldn't tell off your parents.,they really made you mad.,0
 You shouldn't tell off your parents.,you want to keep living in their house.,1
 You shouldn't tell off your parents.,Your parents are unjustly judging you.,0
 You shouldn't tell off your parents.,Your parents are trying to be helpful and understanding.,1
 You shouldn't tell off your parents.,Your parents are very abusive and hurtful to you and you are defending yourself.,0
 You shouldn't tell off your parents.,Your parents love you dearly and have your best interests at heart.,1
 You shouldn't tell off your parents.,Your parents are getting in to your personal business.,0
 You shouldn't tell off your parents.,You know they're right.,1
 You shouldn't tell off your parents.,Your parents ask you to do something appallingly unethical.,0
 You shouldn't tell off your parents.,They just asked you to do something reasonable like clean your room.,1
 It's okay to disagree with your partner.,It involves a mutual decision with children.,0
 It's okay to disagree with your partner.,You can debate without having it impact your relationship.,1
 It's okay to disagree with your partner.,The disagreement is about their personal consent to something.,0
 It's okay to disagree with your partner.,The disagreement is about personal preference.,1
 It's okay to disagree with your partner.,It might lead to a divorce.,0
 It's okay to disagree with your partner.,You know what they're saying is clearly wrong.,1
 It's okay to disagree with your partner.,You disagree about everything and are constantly fighting.,0
 It's okay to disagree with your partner.,You can discuss your differences calmly and maturely.,1
 It's okay to disagree with your partner.,your partner is right.,0
 It's okay to disagree with your partner.,you don't agree on how to raise the children.,1
 It's wrong to be impatient.,You are suffering an allergic reaction and need immediate medical help.,0
 It's wrong to be impatient.,You are trying to teach a young child good values.,1
 It's wrong to be impatient.,you've been waiting for far too long.,0
 It's wrong to be impatient.,you haven't been waiting that long.,1
 It's wrong to be impatient.,you have been waiting much longer than expected.,0
 It's wrong to be impatient.,you need to wait your turn.,1
 It's wrong to be impatient.,You are at the dmv.,0
 It's wrong to be impatient.,It's with your children.,1
 It's wrong to be impatient.,There's an emergency situation that needs immediate attention.,0
 It's wrong to be impatient.,People are always having to wait for you.,1
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,breaking up with them would push them toward suicide,0
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,the other person doesn't know you're stringing them along,1
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,The person has strung you along before.,0
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,The person thinks you love them.,1
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,you are unsure of your feelings and are honest with the other person.,0
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,you know that your relationship has no long-term future.,1
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,They changed their life for you.,1
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,both parties are aware of what is going on and are okay with it.,0
 It's rude to string someone along in a relationship rather than just breaking up with them completely.,you are hurting the other person.,1
 It's good to spend time with your friends.,You are busy working.,0
 It's good to spend time with your friends.,You have free time.,1
 It's good to spend time with your friends.,Your friends have some nasty habits.,0
 It's good to spend time with your friends.,You want to cultivate lifelong relationships.,1
 It's good to spend time with your friends.,you aren't getting your homework done.,0
 It's good to spend time with your friends.,you don't have any siblings.,1
 It's good to spend time with your friends.,Your marriage is falling apart and needs attention,0
 It's good to spend time with your friends.,You want to maintain those friendships,1
 It's good to spend time with your friends.,you have the flu.,0
 It's good to spend time with your friends.,are having a good time.,1
 It is okay to only want to live with people you are comfortable with.,You can't afford to live on your own.,0
 It is okay to only want to live with people you are comfortable with.,You can afford to live on your own.,1
 It is okay to only want to live with people you are comfortable with.,It is not your home to make that decision.,0
 It is okay to only want to live with people you are comfortable with.,You are the one paying all the bills.,1
 It is okay to only want to live with people you are comfortable with.,you are hard up for money.,0
 It is okay to only want to live with people you are comfortable with.,you have had bad experiences.,1
 It is okay to only want to live with people you are comfortable with.,You are in prison for doing something horrible.,0
 It is okay to only want to live with people you are comfortable with.,You are paying your own bills.,1
 It is okay to only want to live with people you are comfortable with.,You want to torture yourself,0
 It is okay to only want to live with people you are comfortable with.,You don’t trust strangers,1
 Judging someone on their physical appearance is wrong.,they are in a beauty contest.,0
 Judging someone on their physical appearance is wrong.,they have a nice personality.,1
 Judging someone on their physical appearance is wrong.,They judge other people as well.,0
 Judging someone on their physical appearance is wrong.,They are disabled.,1
 Judging someone on their physical appearance is wrong.,They purposefully come to work in ragged clothes without showering.,0
 Judging someone on their physical appearance is wrong.,You are judging them based on how attractive they are.,1
 Judging someone on their physical appearance is wrong.,You're a judge at a beauty competition.,0
 Judging someone on their physical appearance is wrong.,You're hiring a secretary.,1
 Judging someone on their physical appearance is wrong.,You are a model scout.,0
 Judging someone on their physical appearance is wrong.,They are a child.,1
 It is wrong to give up on your loved ones,They have chosen that to get help.,0
 It is wrong to give up on your loved ones,The child is struggling and is looking for your guidance.,1
 It is wrong to give up on your loved ones,The doctor declares them brain-dead.,0
 It is wrong to give up on your loved ones,They rely on your income to survive.,1
 It is wrong to give up on your loved ones,They are terminally ill.,0
 It is wrong to give up on your loved ones,They need your encouragement.,1
 It is wrong to give up on your loved ones,Your loved ones are abusive towards you.,0
 It is wrong to give up on your loved ones,Your loved ones depend on you.,1
 It is wrong to give up on your loved ones,They just won't help themselves.,0
 It is wrong to give up on your loved ones,They are asking for help.,1
 It's expected that family will want to see each other.,Work or school gets in the way.,0
 It's expected that family will want to see each other.,There is a younger generation of children.,1
 It's expected that family will want to see each other.,they had a fight and are upset,0
 It's expected that family will want to see each other.,it is currently a really major holiday,1
 It's expected that family will want to see each other.,They all live in different states.,0
 It's expected that family will want to see each other.,They all live in the same city.,1
 It's expected that family will want to see each other.,they have had a big fight and no longer speak to each other.,0
 It's expected that family will want to see each other.,there is a big family event like the birth of a child.,1
 It's expected that family will want to see each other.,They have been estranged for years.,0
 It's expected that family will want to see each other.,They grew up very close to one another.,1
 It's okay to decide someone isn't a good fit for your life.,That person is abusive,1
 It's okay to decide someone isn't a good fit for your life.,That person is your child.,0
 It's okay to decide someone isn't a good fit for your life.,That person isn't a nice person to you.,1
 It's okay to decide someone isn't a good fit for your life.,You're dependent on that person for money.,0
 It's okay to decide someone isn't a good fit for your life.,You're not talking about that person as much.,1
 It's okay to decide someone isn't a good fit for your life.,They are your immediate supervisor.,0
 It's okay to decide someone isn't a good fit for your life.,They hurt you or the ones you love every chance they get.,1
 It's okay to decide someone isn't a good fit for your life.,they are a relative.,0
 It's okay to decide someone isn't a good fit for your life.,they don't bring you happiness.,1
 It's ok to disagree with your spouse's parenting choices.,It is something that will affect the child's life tremendously.,0
 It's ok to disagree with your spouse's parenting choices.,They compromise with you on other choices.,1
 It's ok to disagree with your spouse's parenting choices.,Their kid is a good person,0
 It's ok to disagree with your spouse's parenting choices.,Their kid misbehaves all the time,1
 It's ok to disagree with your spouse's parenting choices.,Unless they aren't your children too.,0
